City,Lat,Temp,Humidity,Cloudiness,Wind_speed
rikitea,-23.12,69.29,73.0,49.0,19.71
winslow,51.94,41.52,93.0,75.0,6.93
dikson,73.51,26.87,85.0,99.0,17.92
ushuaia,-54.81,55.4,96.0,75.0,10.29
hami,42.84,55.2,17.0,1.0,3.69
aflu,,,,,
port alfred,-33.59,64.99,97.0,100.0,4.0
pucallpa,-8.38,73.4,94.0,75.0,2.24
hilo,19.71,72.41,88.0,90.0,8.05
zhezkazgan,47.8,42.8,64.0,75.0,17.9
valparaiso,41.47,55.15,87.0,90.0,6.04
punta arenas,-53.16,48.09,61.0,0.0,8.05
dingle,11.0,84.12,79.0,96.0,8.57
tuktoyaktuk,69.44,19.4,79.0,5.0,13.87
georgetown,6.8,75.2,100.0,20.0,4.7
atuona,-9.8,80.09,71.0,0.0,19.17
mar del plata,-46.43,59.73,40.0,0.0,13.22
gunnedah,-30.98,78.19,15.0,0.0,9.17
barrow,-38.31,50.36,83.0,0.0,10.27
busselton,-33.64,79.29,42.0,0.0,12.48
bengkulu,,,,,
tuy hoa,13.08,78.44,91.0,94.0,7.85
butaritari,3.07,84.86,74.0,84.0,10.07
lasa,34.92,68.76,73.0,20.0,6.93
taolanaro,,,,,
albany,42.65,35.06,86.0,20.0,3.36
mayumba,-3.44,77.55,84.0,98.0,7.65
kununurra,-15.77,105.8,18.0,40.0,9.17
fairbanks,64.84,30.72,92.0,75.0,2.93
hobart,-42.88,60.44,42.0,75.0,14.99
provideniya,64.42,20.58,82.0,24.0,5.79
manacapuru,-3.3,73.4,94.0,0.0,2.24
pevek,69.7,26.63,81.0,99.0,15.05
kapaa,22.08,78.87,83.0,75.0,9.17
cape town,-33.93,61.02,87.0,40.0,4.7
belushya guba,,,,,
tumannyy,,,,,
toftir,,,,,
yellowknife,62.45,25.65,92.0,40.0,8.05
naze,5.43,73.4,100.0,40.0,2.8
faanui,-16.48,80.0,81.0,22.0,10.92
kazalinsk,,,,,
kondinskoye,59.65,27.08,45.0,0.0,11.92
dzhebariki-khaya,62.22,32.81,99.0,100.0,0.38
jamestown,-33.21,74.48,21.0,0.0,10.09
cabo san lucas,22.89,72.37,83.0,75.0,12.75
bambous virieux,-20.34,77.0,65.0,75.0,13.87
fort nelson,58.81,33.8,96.0,90.0,2.15
hasaki,35.73,72.14,64.0,75.0,11.41
caravelas,-17.73,74.1,86.0,66.0,2.77
torbay,47.66,46.33,100.0,90.0,20.8
lebu,8.96,60.8,59.0,40.0,9.17
saleaula,,,,,
pacific grove,36.62,55.47,87.0,90.0,5.82
cayenne,4.94,77.0,94.0,0.0,5.32
east london,-33.02,68.0,88.0,75.0,14.99
hamilton,43.26,44.42,93.0,75.0,6.93
saryshagan,,,,,
bluff,-23.58,88.88,9.0,0.0,11.99
upernavik,72.79,26.33,80.0,100.0,8.48
saldanha,41.42,45.64,88.0,86.0,8.99
thompson,55.74,37.4,86.0,90.0,5.82
hidalgo,26.1,78.62,88.0,40.0,4.7
arraial do cabo,-22.97,71.52,88.0,90.0,15.75
lupiro,-8.39,79.53,66.0,2.0,6.26
rivadavia,-31.53,52.89,49.0,76.0,2.89
tamandare,-8.28,69.63,91.0,100.0,1.41
teya,21.05,81.48,78.0,75.0,5.82
honningsvag,70.98,32.3,68.0,99.0,11.88
kokkola,63.84,35.17,86.0,90.0,5.82
new norfolk,-42.78,60.73,42.0,75.0,14.99
vaitupu,,,,,
gangapur,19.7,73.22,82.0,97.0,12.3
chuy,-33.69,51.78,84.0,100.0,7.25
santa eulalia del rio,,,,,
acapulco,16.86,78.8,94.0,75.0,5.82
puerto madryn,-42.77,72.23,27.0,66.0,20.02
kodiak,39.95,46.96,100.0,1.0,3.36
eureka,40.8,48.61,93.0,1.0,6.93
port hawkesbury,45.62,44.87,75.0,90.0,13.87
mount gambier,-37.83,55.4,66.0,90.0,11.41
iskateley,67.68,32.36,98.0,100.0,14.65
grand river south east,,,,,
luwuk,-0.95,68.82,95.0,100.0,3.6
novoagansk,61.94,26.78,69.0,23.0,11.01
los llanos de aridane,28.66,69.8,77.0,29.0,2.24
chokurdakh,70.62,2.53,96.0,43.0,8.1
san carlos de bariloche,-41.13,51.8,66.0,0.0,16.11
iqaluit,63.75,24.39,73.0,20.0,6.93
sumter,33.92,69.17,100.0,90.0,9.17
mataura,-46.19,59.0,54.0,82.0,10.0
carnarvon,-30.97,67.74,18.0,0.0,10.96
ribeira grande,38.52,62.92,63.0,23.0,6.71
muros,42.77,48.97,100.0,40.0,2.24
saskylakh,71.97,-2.46,87.0,4.0,4.74
barawe,,,,,
rio grande,-32.03,48.45,95.0,100.0,2.51
sinnamary,5.38,81.39,80.0,61.0,13.6
kagal,16.58,78.63,77.0,79.0,12.84
locri,38.24,67.87,83.0,20.0,5.82
zelenets,53.83,40.26,80.0,22.0,5.37
bubaque,11.28,81.24,84.0,23.0,13.18
avarua,-21.21,73.4,88.0,34.0,8.05
talnakh,69.49,15.8,92.0,75.0,12.95
rockingham,52.52,43.47,87.0,7.0,5.82
qaanaaq,77.48,0.93,48.0,0.0,5.7
laguna,16.17,78.8,94.0,0.0,0.78
ereymentau,51.62,23.68,73.0,0.0,12.46
kruisfontein,-34.0,65.35,77.0,87.0,15.79
hithadhoo,-0.6,82.0,77.0,92.0,14.79
bac giang,21.27,84.2,58.0,40.0,2.24
illoqqortoormiut,,,,,
mankono,8.06,70.5,97.0,100.0,4.21
esperance,-33.86,89.6,22.0,42.0,12.75
opuwo,-18.06,77.68,37.0,85.0,1.23
puerto ayacucho,5.66,74.75,87.0,44.0,1.77
gornorechenskiy,44.26,54.33,50.0,0.0,6.17
alice springs,-23.7,89.6,11.0,0.0,12.75
santa maria,-16.02,73.13,47.0,0.0,2.24
tura,64.27,13.46,83.0,10.0,3.22
yulara,-25.24,95.0,14.0,93.0,11.41
nikolskoye,59.7,46.35,87.0,20.0,8.95
